,Investors,Number of Investments
521,WRVI Capital,1
522,Flybridge Capital Partners,1
523,Wellington Management,1
524,Storm Ventures,1
525,SCB 10X,1
526,C5 Capital,1
527,Bojiang Capital,1
528,Owl Ventures,1
529,Yinhong Equity Investment Fund,1
530,TDK Ventures,1
531,Smilegate Investment,1
532,XBTO Ventures,1
533,Griffin Gaming Partners,1
534,Eclipse Ventures,2
535,Xingwang Investment Management,1
536,Iris Capital,1
537,Invus Group,1
538,Bregal Sagemount,1
539,Optum Ventures,1
540,Delian Capital,1
541,Genesis Partners,1
542,Day One Ventures,1
543,Advance Venture Partners,1
544,Hyde Park Venture Partners,2
545,NetEase Capital,1
546,Wing Venture Capital,1
547,Female Founders Fund,1
548,NFX,1
549,Anthemis,1
550,Rembrandt Venture Partners,1
551,Yunqi Partners,1
552,Softbank Ventures Asia,1
553,3one4 Capital Partners,2
554,True Ventures,1
555,IAG Capital Partners,1
556,Vitruvian Partners,1
557,Valor Capital Group,1
558,Lerer Hippeau,1
559,Cowboy Ventures,1
560,Korea Investment Private Equity,1
561,Acero Capital,1
562,Equal Ventures,1
563,BlueRun Ventures,1
564,Paladin Capital Group,1
565,RRE Ventures+,1
566,Prysm Capital,1
567,Danone Manifesto Ventures,1
568,NewAlpha,1
569,Alpargatas,1
570,Vostok New Ventures,1
571,Horizons Ventures,1
572,TPG Capital,1
573,AWZ Ventures,1
574,Lightspeed India Partners,2
575,Next Play Ventures,1
576,Multicoin Capital,1
577,Earlybird Venture Capital,1
578,Lemniscap VC,1
579,Fasanara Capital,1
580,U.S. Venture Partners,1
581,Wildcat Capital Management,1
582,Green Bay Ventures,1
583,Prime Movers Lab,1
584,Primary Venture Partners,1
585,Japan Industrial Partners,1
586,Varengold Bank,1
587,Emergence Capital,1
588,iSeed Ventures,1
589,Creades,1
590,Hedosophia,1
591,Valar Ventures,1
592,AMF Pensionsforsakring,1
593,Sinar Mas Digital Ventures,1
594,Homebrew,1
595,Gaja Capital Partners,1
596,Boost VC,1186
597, Softbank,2
598,,143
599, DCM Ventures,6
600, Venture Highway,1
601, ZhenFund,4
602, DC Thomson Ventures,1
603, Golden Gate Ventures,3
604, Alibaba Entrepreneurs Fund,1
605, Qualgro,1
606, DST Global,7
607, Activant Capital,1
608, Visa Ventures,1
609, IDG Capital,9
610, Dynamic Parcel Distribution,1
611, Qatar Investment Authority,1
612, Sina Weibo,1
613, Rothenberg Ventures,1
614, Shunwei Capital Partners,2
615, capitalG,3
616, Matrix Partners,3
617, Collaborative Fund,1
618, Battery Ventures,6
619, Ribbit Capital,5
620, Smash Ventures,1
621, Temasek Holdings,3
622, Homebrew,1
623, Sequoia Capital India,6
624, Tencent,4
625, Sequoia Capital China,10
626, Technology Crossover Ventures,3
627, Tencent Holdings,10
628, Anthos Capital,2
629, Gaorong Capital,3
630, Lightspeed Venture Partners,13
631, Lakestar,1
632, Index Ventures,9
633, Sound Ventures,6
634, Breyer Capital,1
635, Venrock,4
636, Sequoia Capital,14
637, Greenoaks Capital Management,2
638, Davidson Kempner Capital Management,1
639, Y Combinator,7
640, Revo Capital,1
641, Founder Collective,1
642, Qualcomm Ventures,2
643, Kleiner Perkins Caufield & Byers,7
644, Jiangsu Sha Steel Group,1
645, General Atlantic,11
646, Addition,1
647, Yunfeng Capital,1
648, Norwest Venture Partners,6
649, Xiang He Capital,1
650, Coatue Management,10
651, Storm Ventures,2
652, Felicis Ventures,3
653, Advent International,2
654, Softbank Group,3
655, Jump Crypto,1
656, North Bridge Growth Equity,1
657, BA Capital,1
658, Valar Ventures,2
659, Astral Capital,1
660, Goldman Sachs,4
661, TPG Growth,1
662, Pokemon Company International,1
663, Durable Capital Partners,1
664, Mountain Nazca,1
665, Accel,13
666, Picus Capital,1
667, Bain Capital Credit,1
668, TMT Investments,1
669, Group 11,1
670, Lightbank,1
671, Steadview Capital,1
672, Stripes Group,3
673, First Round Capital,1
674, B Capital Group,1
675, Highland Capital Management,1
676, Andreessen Horowitz,13
677, Institutional Venture Partners,2
678, Matrix Partners India,3
679, Polaris Partners,1
680, Union Square Ventures,1
681, Wing Venture Capital,2
682, Zeev Ventures,1
683, 10T Fund,2
684, SignalFire,3
685, Coinbase Ventures,2
686, New Enterprise Associates,3
687, Skip Capital,1
688, General Catalyst,12
689,,1
690, GS Growth,4
691, IA Ventures,2
692, VY Capital,1
693, MenloVentures,1
694, UBS,1
695, Insight Partners,12
696, Borui Capital,1
697, Huasheng Capital,1
698, Redpoint Ventures,4
699, Daphni,2
700, Summit Partners,2
701, Craft Ventures,1
702, Canaan Partners,3
703, ICONIQ Capital,4
704, SoftBank Group,9
705, CITIC Securities International,1
706, Point Nine Capital,1
707, Morningside Venture Capital,2
708, Huagai Capital,1
709, Intel Capital,3
710, LeapFrog Investments,1
711, Toscafund Asset Management,1
712, FirstMark Capital,3
713, PayPal Ventures,4
714, Ignition Partners,2
715, OMERS Ventures,4
716, Commerce Ventures,4
717, Prosus Ventures,5
718, WestCap Group,2
719, Quona Capital,1
720, Asset Management Ventures,1
721, Oriza Equity Investment,1
722, Crosslink Capital,1
723, Kinnevik,1
724, Revolution Ventures,1
725, Providence Ventures,1
726, T. Rowe Price,2
727, Burda Principal Investments,1
728, Sinovation Ventures,1
729, Orange Digital Ventures,1
730, Qiming Venture Partners,6
731, Trinity Ventures,2
732, ICONIQ Growth,1
733, Viking Global Investors,2
734, Tribe Capital,2
735, Geodesic Capital,1
736, TDR Capital,1
737, Uniqa Ventures,2
738, XVC Venture Capital,1
739, Comcast Ventures,1
740, Foxconn Technology Company,1
741, TLV Partners,1
742, CRV,4
743, JMI Equity,1
744, Threshold Ventures,2
745, Bond Capital,1
746, Ascension Ventures,1
747, Khosla Ventures,3
748, American Express Ventures,1
749, Google Ventures,8
750, Cowboy Ventures,1
751, 	ICONIQ Capital,1
752, TVS Capital,1
753, and Sequoia Capital China,1
754, Charter Venture Capital,1
755, Thrity Five Ventures,1
756, Dell Technologies Capital,2
757, D1 Capital Partners,4
758, Silver Lake,3
759, Valor Equity Partners,1
760, New Era Ventures,1
761, Citi Ventures,2
762, Wonder Ventures,1
763, Two Sigma Ventures,2
764, Ridge Ventures,1
765, Franklin Templeton,1
766, Baillie Gifford & Co.,1
767, Felix Capital,2
768, Salesforce Ventures,3
769, True Ventures,1
770, Tiger Global Management,20
771, Capricorn Investment Group,1
772, Vertex Ventures,1
773, Fidelity Investment,2
774, China State Capital Venture Capital Fund,1
775, Revolution Growth,1
776, Kenetic Capital,1
777, Earlybird Venture Capital,1
778, Google Capital,1
779, Cocnord Health Partners,1
780, Bertelsmann India Investments,1
781, Blockchain Capital,1
782, Imaginary Ventures,1
783, Foresite Capital,1
784, BlackRock,8
785, Microsoft ScaleUp,1
786, Expedia Inc.,1
787, CreditEase Fintech Investment Fund,1
788, GGV Capital,5
789, PUC,1
790, Escala Capital,1
791, Grayhawk Capital,1
792, Data Collective,2
793, Bloomberg Beta,1
794, Standard Crypto,1
795, Lightspeed Venture Capital,1
796, Jump Capital,5
797, Pitango Venture Capital,2
798, Lux Capital,3
799, Schonfeld Strategic Advisors,1
800, Greycroft,5
801, Bond,1
802, SBI Investment,1
803, Bedrock Capital,1
804, QED Investors,2
805, BEENEXT,2
806, Portag3 Ventures,1
807, Amadeus Capital Partners,1
808, General Catalyst Partners,1
809, Javelin Venture Partners,1
810, Inova Ventures Participacees,1
811, Vintage Investment Partners,1
812, China Fortune Land Development,1
813, Kite Ventures,1
814, IQ Capital,1
815, Partech Partners,2
816, Core Capital Partners,1
817, Liberty Gloval Ventures,1
818, Emerge,1
819, Vision Plus Capital,1
820, SOFTBANK Latin America Ventures,1
821, MSD Capital,1
822, Founders Fund,6
823, Tus Holdings,1
824, Nexus Venture Partners,1
825, HarbourVest Partners,1
826, Greylock Partners,2
827, National Grid Partners,1
828, Longitude Capital,1
829, Temasek,5
830, Spark Capital,4
831, Malabar Investments,1
832, Monashees+,3
833, Go-Ventures,1
834, Guangzhou Huiyin Aofeng Equity Investment Fund,2
835, RedBird Capital Partners,1
836, Wakefield Group,1
837, Mithril Capital Management,2
838, Flybridge Capital Partners,2
839, Aleph,2
840, Chicago Ventures,2
841, Roche Venture Fund,1
842, CommerzVentures,1
843, Atomico,3
844, Green Pine Capital Partners,1
845, Caterpillar,1
846, Scale Venture Partners,3
847, Canapi Ventures,2
848, Sofinnova Partners,1
849, Carlson Private Capital Partners,1
850, Foundation Capital,2
851, Section 32,1
852, Trustbridge Partners,1
853, Eldridge,2
854, Sway Ventures,1
855, Creandum,2
856, Valiant Capital Partners,1
857, Elevation Capital,1
858, Streamlined Ventures,1
859, Balderton Capital,4
860, Global Founders Capital,2
861, Clocktower Technology Ventures,2
862, August Capital,1
863, 58.com,1
864, Insight Venture Partners,1
865, Western Capital Management,1
866, Benchmark,1
867, FANUC,1
868, Foundry Group,2
869, Bank of China,1
870, Ireland Strategic Investment Fund,1
871, Linear Venture,2
872, Qumra Capital,1
873, Bain Capital Ventures,2
874, Hongtai Capital Holdings,1
875, World Lab Innovation,1
876, Vision Knight Capital,1
877, Emergence Capital Partners,2
878, Spectrum Equity,1
879, Kima Ventures,1
880, Genesis Capital,1
881, FinVC,1
882, Gradient Ventures,1
883, SciFi VC,1
884, Redpoint Ventures China,2
885, RRE Ventures,1
886, FutureX Capital,1
887, Quiet Capital,1
888, Novator Partners,2
889, Altimeter Capital,1
890, Ayala Corporation,1
891, dmg ventures,1
892, Oryzn Capital,1
893, Pantera Capital,1
894, EQT Ventures,1
895, 360 Capital Partners,1
896, Siam Commercial Bank,1
897, Socii Capital,1
898, Hillhouse Capital Management,3
899, Bessemer Venture Partners,6
900, Warburg Pincus,1
901, Yuanta Investment Korea,1
902, Alven Capital,2
903, Sky9 Capital,1
904, ARCH Venture Partners,1
905, TPG Capital,1
906, Maverick Ventures Israel,1
907, Fifth Wall Ventures,2
908, kt investment,1
909, Vast Ventures,1
910, ClalTech,1
911, Lerer Hippeau,1
912, Das Capital,1
913, Moore Capital Management,2
914, Funa Yuanchuang Technology,1
915, BDC Venture Capital,1
916, Avenir Growth Capital,1
917, Winklevoss Capital,1
918, Chengwei Capital,1
919, Echo Health Ventures,1
920, Blue Cloud Ventures,1
921, Alaska Permanent Fund,1
922, Harrison Metal,1
923, AllegisCyber Capital,1
924, Sapphire Ventures,1
925, Crane Venture Partners,1
926, Geekdom Fund,1
927, Ondine Capital,1
928, Crossbeam Venture Partners,1
929, NFX,1
930, Jove Equity Partners,1
931, Vulcan Capital,1
932, enaya Capital,1
933, L Catterton,1
934, Aker,1
935, Light Street Capital,1
936, TI Platform Management,1
937, Launchpad Venture Group,1
938, Left Lane Capital,1
939, S Capital,1
